Vladimir URUTCHEV,BG,Bulgarie,PPE,pro
Adina-Ioana VĂLEAN,RO,Roumanie,PPE,pro
Hermann WINKLER,DE,Allemagne,PPE,pro
Anna ZÁBORSKÁ,SK,Slovaquie,PPE,pro
Tomáš ZDECHOVSKÝ,CZ,Tchéquie,PPE,pro
Francisco ASSIS,PT,Portugal,S&D,pro
Brando BENIFEI,IT,Italie,S&D,pro
Monika BEŇOVÁ,SK,Slovaquie,S&D,pro
Vilija BLINKEVIČIŪTĖ,LT,Lituanie,S&D,pro
Biljana BORZAN,HR,Croatie,S&D,pro
Renata BRIANO,IT,Italie,S&D,pro
Udo BULLMANN,DE,Allemagne,S&D,pro
Nessa CHILDERS,IE,Irlande,S&D,pro
Sergio Gaetano COFFERATI,IT,Italie,S&D,pro
Andrea COZZOLINO,IT,Italie,S&D,pro
Miriam DALLI,MT,Malte,S&D,pro
Mady DELVAUX,LU,Luxembourg,S&D,pro
Michael DETJEN,DE,Allemagne,S&D,pro
Ismail ERTUG,DE,Allemagne,S&D,pro
Tanja FAJON,SI,Slovénie,S&D,pro
Knut FLECKENSTEIN,DE,Allemagne,S&D,pro
Eugen FREUND,AT,Autriche,S&D,pro
Aleksander GABELIC,SE,Suède,S&D,pro
Evelyne GEBHARDT,DE,Allemagne,S&D,pro
Jens GEIER,DE,Allemagne,S&D,pro
Lidia Joanna GERINGER de OEDENBERG,PL,Pologne,S&D,pro
Adam GIEREK,PL,Pologne,S&D,pro
Ana GOMES,PT,Portugal,S&D,pro
Maria GRAPINI,RO,Roumanie,S&D,pro
Karoline GRASWANDER-HAINZ,AT,Autriche,S&D,pro
Anna HEDH,SE,Suède,S&D,pro
Liisa JAAKONSAARI,FI,Finlande,S&D,pro
Agnes JONGERIUS,NL,Pays-Bas,S&D,pro
Petra KAMMEREVERT,DE,Allemagne,S&D,pro
Sylvia-Yvonne KAUFMANN,DE,Allemagne,S&D,pro
Jan KELLER,CZ,Tchéquie,S&D,pro
Arndt KOHN,DE,Allemagne,S&D,pro
Dietmar KÖSTER,DE,Allemagne,S&D,pro
Constanze KREHL,DE,Allemagne,S&D,pro
Miapetra KUMPULA-NATRI,FI,Finlande,S&D,pro
Bernd LANGE,DE,Allemagne,S&D,pro
Arne LIETZ,DE,Allemagne,S&D,pro
Andrejs MAMIKINS,LV,Lettonie,S&D,pro
Alex MAYER,GB,Royaume-Uni,S&D,pro
Susanne MELIOR,DE,Allemagne,S&D,pro
Momchil NEKOV,BG,Bulgarie,S&D,pro
Norbert NEUSER,DE,Allemagne,S&D,pro
Péter NIEDERMÜLLER,HU,Hongrie,S&D,pro
Maria NOICHL,DE,Allemagne,S&D,pro
Ivari PADAR,EE,Estonie,S&D,pro
Tonino PICULA,HR,Croatie,S&D,pro
Kati PIRI,NL,Pays-Bas,S&D,pro
Georgi PIRINSKI,BG,Bulgarie,S&D,pro
Miroslav POCHE,CZ,Tchéquie,S&D,pro
Răzvan POPA,RO,Roumanie,S&D,pro
Gabriele PREUSS,DE,Allemagne,S&D,pro
Evelyn REGNER,AT,Autriche,S&D,pro
Ulrike RODUST,DE,Allemagne,S&D,pro
Elly SCHLEIN,IT,Italie,S&D,pro
Joachim SCHUSTER,DE,Allemagne,S&D,pro
Olga SEHNALOVÁ,CZ,Tchéquie,S&D,pro
Peter SIMON,DE,Allemagne,S&D,pro
Birgit SIPPEL,DE,Allemagne,S&D,pro
Tibor SZANYI,HU,Hongrie,S&D,pro
Claudiu Ciprian TĂNĂSESCU,RO,Roumanie,S&D,pro
Paul TANG,NL,Pays-Bas,S&D,pro
Claudia ȚAPARDEL,RO,Roumanie,S&D,pro
Isabelle THOMAS,FR,France,S&D,pro
Marita ULVSKOG,SE,Suède,S&D,pro
Daniele VIOTTI,IT,Italie,S&D,pro
Josef WEIDENHOLZER,AT,Autriche,S&D,pro
Martina WERNER,DE,Allemagne,S&D,pro
Kerstin WESTPHAL,DE,Allemagne,S&D,pro
Babette WINTER,DE,Allemagne,S&D,pro
Tiemo WÖLKEN,DE,Allemagne,S&D,pro
Marco AFFRONTE,IT,Italie,Verts/ALE,pro
Max ANDERSSON,SE,Suède,Verts/ALE,pro
Margrete AUKEN,DK,Danemark,Verts/ALE,pro
Klaus BUCHNER,DE,Allemagne,Verts/ALE,pro
Reinhard BÜTIKOFER,DE,Allemagne,Verts/ALE,pro
Jakop DALUNDE,SE,Suède,Verts/ALE,pro
Bas EICKHOUT,NL,Pays-Bas,Verts/ALE,pro
Linnéa ENGSTRÖM,SE,Suède,Verts/ALE,pro
Jill EVANS,GB,Royaume-Uni,Verts/ALE,pro
Romeo FRANZ,DE,Allemagne,Verts/ALE,pro
Sven GIEGOLD,DE,Allemagne,Verts/ALE,pro
Martin HÄUSLING,DE,Allemagne,Verts/ALE,pro
Heidi HAUTALA,FI,Finlande,Verts/ALE,pro
Ian HUDGHTON,GB,Royaume-Uni,Verts/ALE,pro
Ska KELLER,DE,Allemagne,Verts/ALE,pro
Jean LAMBERT,GB,Royaume-Uni,Verts/ALE,pro
Philippe LAMBERTS,BE,Belgique,Verts/ALE,pro
Barbara LOCHBIHLER,DE,Allemagne,Verts/ALE,pro
Florent MARCELLESI,ES,Espagne,Verts/ALE,pro
Tamás MESZERICS,HU,Hongrie,Verts/ALE,pro
Tilly METZ,LU,Luxembourg,Verts/ALE,pro
Miroslavs MITROFANOVS,LV,Lettonie,Verts/ALE,pro
Julia REDA,DE,Allemagne,Verts/ALE,pro
Michel REIMON,AT,Autriche,Verts/ALE,pro
Terry REINTKE,DE,Allemagne,Verts/ALE,pro
Bronis ROPĖ,LT,Lituanie,Verts/ALE,pro
Judith SARGENTINI,NL,Pays-Bas,Verts/ALE,pro
Molly SCOTT CATO,GB,Royaume-Uni,Verts/ALE,pro
Davor ŠKRLEC,HR,Croatie,Verts/ALE,pro
Alyn SMITH,GB,Royaume-Uni,Verts/ALE,pro
Jordi SOLÉ,ES,Espagne,Verts/ALE,pro
Igor ŠOLTES,SI,Slovénie,Verts/ALE,pro
Indrek TARAND,EE,Estonie,Verts/ALE,pro
Keith TAYLOR,GB,Royaume-Uni,Verts/ALE,pro
Josep-Maria TERRICABRAS,ES,Espagne,Verts/ALE,pro
Ernest URTASUN,ES,Espagne,Verts/ALE,pro
Bodil VALERO,SE,Suède,Verts/ALE,pro
Monika VANA,AT,Autriche,Verts/ALE,pro
Thomas WAITZ,AT,Autriche,Verts/ALE,pro
Nedzhmi ALI,BG,Bulgarie,ALDE,anti
Jean ARTHUIS,FR,France,ALDE,anti
Johannes Cornelis van BAALEN,NL,Pays-Bas,ALDE,anti
